Entry Number | Prediction (None, Flip, Elastic Deformation, Affine, Noise, Blur) | Actual
Entry 0 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 1 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 2 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 3 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 4 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 5 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 6 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 7 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 8 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 9 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 10 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 11 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 12 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 13 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 14 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 15 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 16 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 17 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 18 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 19 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 20 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 21 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 22 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 23 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 24 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 25 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 26 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 27 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 28 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 3
Entry 29 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 2
Entry 30 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 31 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 32 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 33 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 34 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 35 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 36 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 37 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 38 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
