Trained with randomly augmented images:

Low Kappa: 0.34361702127659577
High Kappa: 0.5525281634791721
Average Quadratic Weighted Kappa: 0.46149800581961026

Test Accuracy:  0.7470238095238095
Quadratic Weighted Kappa:  0.7104572454758944


Trained with alpha policy:

Low Kappa: 0.3418875164887877
High Kappa: 0.5987245523669364
Average Quadratic Weighted Kappa: 0.4779556753966338

Test Accuracy:  0.9166666666666666
Quadratic Weighted Kappa:  0.894191437142078


Trained with randomly augmented images with minimum transform probability of 0.1:

Low Kappa: 0.4229445960374896
High Kappa: 0.6901884340480832
Average Quadratic Weighted Kappa: 0.5591247266653266

Test Accuracy:  0.9107142857142857
Quadratic Weighted Kappa:  0.8958361589583616




Entry Number | Prediction | Actual
Entry 0 | Prediction: 3 | Correct: 3
Entry 1 | Prediction: 0 | Correct: 0
Entry 2 | Prediction: 1 | Correct: 1
Entry 3 | Prediction: 1 | Correct: 1
Entry 4 | Prediction: 1 | Correct: 1
Entry 5 | Prediction: 1 | Correct: 2
Entry 6 | Prediction: 3 | Correct: 3
Entry 7 | Prediction: 4 | Correct: 4
Entry 8 | Prediction: 3 | Correct: 3
Entry 9 | Prediction: 3 | Correct: 3
Entry 10 | Prediction: 3 | Correct: 3
Entry 11 | Prediction: 4 | Correct: 4
Entry 12 | Prediction: 0 | Correct: 4
Entry 13 | Prediction: 1 | Correct: 2
Entry 14 | Prediction: 4 | Correct: 4
Entry 15 | Prediction: 4 | Correct: 2
Entry 16 | Prediction: 0 | Correct: 0
Entry 17 | Prediction: 1 | Correct: 0
Entry 18 | Prediction: 1 | Correct: 1
Entry 19 | Prediction: 3 | Correct: 3
Entry 20 | Prediction: 2 | Correct: 2
Entry 21 | Prediction: 2 | Correct: 2
Entry 22 | Prediction: 1 | Correct: 1
Entry 23 | Prediction: 3 | Correct: 3
Entry 24 | Prediction: 4 | Correct: 4
Entry 25 | Prediction: 3 | Correct: 3
Entry 26 | Prediction: 2 | Correct: 2
Entry 27 | Prediction: 2 | Correct: 2
Entry 28 | Prediction: 3 | Correct: 3
Entry 29 | Prediction: 0 | Correct: 1
Entry 30 | Prediction: 1 | Correct: 4
Entry 31 | Prediction: 2 | Correct: 2
Entry 32 | Prediction: 1 | Correct: 0
Entry 33 | Prediction: 2 | Correct: 2
Entry 34 | Prediction: 2 | Correct: 2
Entry 35 | Prediction: 3 | Correct: 3
Entry 36 | Prediction: 0 | Correct: 0
Entry 37 | Prediction: 2 | Correct: 0
Entry 38 | Prediction: 3 | Correct: 3
Entry 39 | Prediction: 1 | Correct: 1
Entry 40 | Prediction: 3 | Correct: 3
Entry 41 | Prediction: 1 | Correct: 0
Entry 42 | Prediction: 1 | Correct: 1
Entry 43 | Prediction: 1 | Correct: 2
Entry 44 | Prediction: 3 | Correct: 3
Entry 45 | Prediction: 1 | Correct: 1
Entry 46 | Prediction: 3 | Correct: 3
Entry 47 | Prediction: 1 | Correct: 1
Entry 48 | Prediction: 0 | Correct: 2
Entry 49 | Prediction: 1 | Correct: 1
Entry 50 | Prediction: 4 | Correct: 2
Entry 51 | Prediction: 1 | Correct: 0
Entry 52 | Prediction: 0 | Correct: 0
Entry 53 | Prediction: 0 | Correct: 0
Entry 54 | Prediction: 4 | Correct: 4
Entry 55 | Prediction: 0 | Correct: 0
Entry 56 | Prediction: 4 | Correct: 4
Entry 57 | Prediction: 0 | Correct: 4
Entry 58 | Prediction: 4 | Correct: 4
Entry 59 | Prediction: 2 | Correct: 2
Entry 60 | Prediction: 0 | Correct: 1
Entry 61 | Prediction: 1 | Correct: 0
Entry 62 | Prediction: 2 | Correct: 1
Entry 63 | Prediction: 4 | Correct: 4
Entry 64 | Prediction: 4 | Correct: 4
Entry 65 | Prediction: 1 | Correct: 2
Entry 66 | Prediction: 1 | Correct: 1
Entry 67 | Prediction: 2 | Correct: 2
Entry 68 | Prediction: 0 | Correct: 4
Entry 69 | Prediction: 1 | Correct: 0
Entry 70 | Prediction: 1 | Correct: 1
Entry 71 | Prediction: 3 | Correct: 3
Entry 72 | Prediction: 4 | Correct: 4
Entry 73 | Prediction: 1 | Correct: 0
Entry 74 | Prediction: 0 | Correct: 4
Entry 75 | Prediction: 1 | Correct: 1
Entry 76 | Prediction: 0 | Correct: 0
